period,age_group,pathogen,environment,n_months,rho,p_value,q_period,q_age_panel,low_n,status
2019,4-12,FluB,temp,10,-0.1151515151515151,0.7514196523258484,0.9211427661583907,0.9145500735271463,False,computed_exploratory
2019,4-12,FluB,humi,10,0.4181818181818181,0.2291128409828189,0.5854400422728666,0.6651663125307646,False,computed_exploratory
2019,4-12,FluB,PM2.5,10,-0.0181818181818181,0.9602404181286244,0.99537116513333,0.9867429111949892,False,computed_exploratory
2019,4-12,FluB,PM10,10,-0.3696969696969697,0.2930500752928223,0.6550787393344795,0.6957869492367841,False,computed_exploratory
2019,4-12,FluB,NO2,10,0.1999999999999999,0.5795840000000001,0.8421305982905984,0.9145500735271463,False,computed_exploratory
2019,4-12,FluB,SO2,10,-0.1515151515151515,0.6760651759978538,0.9166032341131534,0.9145500735271463,False,computed_exploratory
2019,4-12,FluB,O3,10,-0.6242424242424242,0.0537177672171673,0.3261435866756592,0.268588836085837,False,computed_exploratory
2019,4-12,FluB,CO,10,-0.1272727272727272,0.7260570147627894,0.9211427661583907,0.9145500735271463,False,computed_exploratory
2019,4-12,FluB,AQI,10,-0.5878787878787878,0.073877706888658,0.3749017961513988,0.332449680998961,False,computed_exploratory
2019,4-12,RSV,windlevel,10,0.3653767083500618,0.299164843623496,0.6550787393344795,0.6957869492367841,False,computed_exploratory
2019,4-12,RSV,temp,10,-0.037283337586741,0.91855597301063,0.979025174995656,0.972588677305373,False,computed_exploratory
2019,4-12,RSV,humi,10,-0.3802900433847582,0.2783431906089358,0.6550787393344795,0.6957869492367841,False,computed_exploratory
2019,4-12,RSV,PM2.5,10,0.2908100331765798,0.4149773740591045,0.7388096310406082,0.7716432834393774,False,computed_exploratory
2019,4-12,RSV,PM10,10,0.1565900178643122,0.6657357311128087,0.9166032341131534,0.9145500735271463,False,computed_exploratory
2019,4-12,RSV,NO2,10,-0.0820233426908302,0.8217762205978926,0.9313463833442784,0.9244982481726292,False,computed_exploratory
2019,4-12,RSV,SO2,10,0.3057233682112762,0.3903104671530484,0.7388096310406082,0.7696071086413568,False,computed_exploratory
2019,4-12,RSV,O3,10,-0.0671100076561338,0.8538562386421884,0.9364874875430452,0.948729154046876,False,computed_exploratory
2019,4-12,RSV,CO,10,0.5294233937317222,0.1155458736905147,0.4687573724119506,0.4511102817060821,False,computed_exploratory
2019,4-12,RSV,AQI,10,0.1267633477949194,0.727118216349204,0.9211427661583907,0.9145500735271463,False,computed_exploratory
2019,4-12,ADV,windlevel,10,-0.1151515151515151,0.7514196523258484,0.9211427661583907,0.9145500735271463,False,computed_exploratory
2019,4-12,ADV,temp,10,0.7575757575757575,0.0111434467996942,0.1979628325784954,0.1432728874246398,False,computed_exploratory
2019,4-12,ADV,humi,10,0.2727272727272727,0.4458383415427513,0.73943920060749,0.7716432834393774,False,computed_exploratory
2019,4-12,ADV,PM2.5,10,-0.8909090909090909,0.0005421442248338,0.0460822591108786,0.0243964901175239,False,computed_exploratory
2019,4-12,ADV,PM10,10,-0.7212121212121211,0.0185731550894602,0.2302004357800321,0.1499948540829168,False,computed_exploratory
2019,4-12,ADV,NO2,10,-0.3575757575757575,0.3103760917056799,0.6550787393344795,0.6957869492367841,False,computed_exploratory
2019,4-12,ADV,SO2,10,-0.8909090909090909,0.0005421442248338,0.0460822591108786,0.0243964901175239,False,computed_exploratory
2019,4-12,ADV,O3,10,-0.4545454545454545,0.186904810349332,0.5124809316030071,0.560714431047996,False,computed_exploratory
2019,4-12,ADV,CO,10,-0.8060606060606059,0.0048620611019646,0.1836778638519962,0.1073016984021058,False,computed_exploratory
